Provider Id,Provider Name,Provider City,Provider State,Provider Zip Code,DRG Definition,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
330005,Kaleida Health,Buffalo,NY,14210,"3 - ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",13,727352.46154,211403.92308,194140.46154
330005,Kaleida Health,Buffalo,NY,14210,23 - CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,28,153053.89286,54667.535714,52219.892857
330005,Kaleida Health,Buffalo,NY,14210,24 - CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,15,128315.86667,47551.2,34148.466667
330005,Kaleida Health,Buffalo,NY,14210,25 - CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,43,158525.2093,46700.186047,39816.418605
330005,Kaleida Health,Buffalo,NY,14210,26 - CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,21,93794.952381,27646.238095,24128.714286
330005,Kaleida Health,Buffalo,NY,14210,27 - CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,18,71927.777778,27813.555556,17863.611111
330005,Kaleida Health,Buffalo,NY,14210,35 - CAROTID ARTERY STENT PROCEDURES WITH CC,18,69869.444444,19512.222222,17815.555556
330005,Kaleida Health,Buffalo,NY,14210,36 - CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,17,56120.294118,17017.352941,13988.235294
330005,Kaleida Health,Buffalo,NY,14210,"40 - PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",18,77058.833333,33634.555556,29244.555556
330005,Kaleida Health,Buffalo,NY,14210,"41 - PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",25,55211.32,20984.04,18055.84
330005,Kaleida Health,Buffalo,NY,14210,"42 - PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",12,45214.333333,16479.416667,13466.166667
330005,Kaleida Health,Buffalo,NY,14210,54 - NERVOUS SYSTEM NEOPLASMS WITH MCC,17,43294.058824,12349.411765,10367.941176
330005,Kaleida Health,Buffalo,NY,14210,56 - DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,12,64636.833333,25345.916667,20387.833333
330005,Kaleida Health,Buffalo,NY,14210,57 - DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,29,28691.655172,11341.517241,9258.0344828
330005,Kaleida Health,Buffalo,NY,14210,"61 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",12,100074.5,24331.25,22561.5
330005,Kaleida Health,Buffalo,NY,14210,"62 - ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",16,60474.5625,17560.125,13589.8125
330005,Kaleida Health,Buffalo,NY,14210,64 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,80,51526.325,18562.325,16332.975
330005,Kaleida Health,Buffalo,NY,14210,65 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,140,30294.492857,9782.6214286,7398.6285714
